C�digo,Fecha,Tipo confirmado,Direccion,Tipo clase de accidente,Tipo confirmado_1,Medio de reporte,Numero vehiculos,Tipo de vehiculos implicados,Qgis_ID,Qgis_Ciudad,Qgis_Pais,Qgis_result_num,Qgis_osm_id,Qgis_display_na,Qgis_category,Qgis_type,lat,lon
AI012105,26/09/2024,Con lesionado,CALLE 11  & CARRERA 125,CHOQUE,CON HERIDOS,AGENTE CAD 123,2,MOTOCICLETA,8654,Cali,Colombia,0,32510913,"Carrera 125, Parcelaciones Pance, Comuna 22, Perímetro Urbano Santiago de Cali, Cali, Sur, Valle del Cauca, RAP Pacífico, 720001, Colombia",highway,tertiary,3.33763956,-76.53596734
AI011062,02/09/2024,Con lesionado,CALLE 17  & CARRERA 125,CHOQUE,CON HERIDOS,CAT 127,2,AUTOMOVIL,8213,Cali,Colombia,0,32510913,"Carrera 125, Parcelaciones Pance, Comuna 22, Perímetro Urbano Santiago de Cali, Cali, Sur, Valle del Cauca, RAP Pacífico, 720001, Colombia",highway,tertiary,3.33763956,-76.53596734
AI013458,31/10/2024,Con lesionado,CALLE 18  & CARRERA 125,CHOQUE,CON HERIDOS,AGENTE CAD 123,2,AUTOMOVIL,9563,Cali,Colombia,0,32510913,"Carrera 125, Parcelaciones Pance, Comuna 22, Perímetro Urbano Santiago de Cali, Cali, Sur, Valle del Cauca, RAP Pacífico, 720001, Colombia",highway,tertiary,3.33763956,-76.53596734
AI003061,11/02/2024,Con lesionado,CALLE 18 CARRERA 125,CHOQUE,POSITIVO,CAT 127,2,AUTOMOVIL,5359,Cali,Colombia,0,32510913,"Carrera 125, Parcelaciones Pance, Comuna 22, Perímetro Urbano Santiago de Cali, Cali, Sur, Valle del Cauca, RAP Pacífico, 720001, Colombia",highway,tertiary,3.33763956,-76.53596734
AI013330,28/10/2024,Negativo,CALLE 19  & CARRERA 125,CHOQUE,NEGATIVO,AGENTE RADIO,2,CAMIONETA,9503,Cali,Colombia,0,32510913,"Carrera 125, Parcelaciones Pance, Comuna 22, Perímetro Urbano Santiago de Cali, Cali, Sur, Valle del Cauca, RAP Pacífico, 720001, Colombia",highway,tertiary,3.33763956,-76.53596734
AI000001547,05/01/2024,Solo da�os,CALLE 25   CARRERA 125,CHOQUE,POSITIVO,CAT 127,2,MOTOCICLETA,4850,Cali,Colombia,0,32510913,"Carrera 125, Parcelaciones Pance, Comuna 22, Perímetro Urbano Santiago de Cali, Cali, Sur, Valle del Cauca, RAP Pacífico, 720001, Colombia",highway,tertiary,3.33763956,-76.53596734
AI013280,27/10/2024,Con lesionado,CALLE 25  & CARRERA 125,CHOQUE,CON HERIDOS,CAT 127,2,MOTOCICLETA,9482,Cali,Colombia,0,32510913,"Carrera 125, Parcelaciones Pance, Comuna 22, Perímetro Urbano Santiago de Cali, Cali, Sur, Valle del Cauca, RAP Pacífico, 720001, Colombia",highway,tertiary,3.33763956,-76.53596734
AI008816,02/07/2024,Negativo,CALLE 25 & CARRERA 125,CHOQUE,NEGATIVO,AGENTE RADIO,2,MOTOCICLETA,7278,Cali,Colombia,0,32510913,"Carrera 125, Parcelaciones Pance, Comuna 22, Perímetro Urbano Santiago de Cali, Cali, Sur, Valle del Cauca, RAP Pacífico, 720001, Colombia",highway,tertiary,3.33763956,-76.53596734
AI009042,08/07/2024,Negativo,CALLE 25 & CARRERA 125,CHOQUE,NEGATIVO,CAT 127,2,AUTOMOVIL,7278,Cali,Colombia,0,32510913,"Carrera 125, Parcelaciones Pance, Comuna 22, Perímetro Urbano Santiago de Cali, Cali, Sur, Valle del Cauca, RAP Pacífico, 720001, Colombia",highway,tertiary,3.33763956,-76.53596734
AI002627,02/02/2024,Con lesionado,CALLE 25 CARRERA 125,CHOQUE,POSITIVO,CAT 127,2,MOTOCICLETA,5238,Cali,Colombia,0,32510913,"Carrera 125, Parcelaciones Pance, Comuna 22, Perímetro Urbano Santiago de Cali, Cali, Sur, Valle del Cauca, RAP Pacífico, 720001, Colombia",highway,tertiary,3.33763956,-76.53596734
AI006006,18/04/2024,Negativo,CALLE 25 CARRERA 125,CHOQUE,NEGATIVO,AGENTE RADIO,2,CAMIONETA,5238,Cali,Colombia,0,32510913,"Carrera 125, Parcelaciones Pance, Comuna 22, Perímetro Urbano Santiago de Cali, Cali, Sur, Valle del Cauca, RAP Pacífico, 720001, Colombia",highway,tertiary,3.33763956,-76.53596734
AI008074,10/06/2024,Con lesionado,CALLE 25 CARRERA 125,CHOQUE,CON HERIDOS,AGENTE CAD 123,2,AUTOMOVIL,5238,Cali,Colombia,0,32510913,"Carrera 125, Parcelaciones Pance, Comuna 22, Perímetro Urbano Santiago de Cali, Cali, Sur, Valle del Cauca, RAP Pacífico, 720001, Colombia",highway,tertiary,3.33763956,-76.53596734
AI004468,13/03/2024,Con lesionado,CALLE 25 CARRERA 125,CHOQUE,NEGATIVO,AGENTE CAD 123,2,AUTOMOVIL,5238,Cali,Colombia,0,32510913,"Carrera 125, Parcelaciones Pance, Comuna 22, Perímetro Urbano Santiago de Cali, Cali, Sur, Valle del Cauca, RAP Pacífico, 720001, Colombia",highway,tertiary,3.33763956,-76.53596734
AI000001501,03/01/2024,Con lesionado,CALLE 36   CARRERA 125,CHOQUE,POSITIVO,AGENTE RADIO,1,MOTOCICLETA,4823,Cali,Colombia,0,32510913,"Carrera 125, Parcelaciones Pance, Comuna 22, Perímetro Urbano Santiago de Cali, Cali, Sur, Valle del Cauca, RAP Pacífico, 720001, Colombia",highway,tertiary,3.33763956,-76.53596734
AI002958,09/02/2024,Solo da�os,CARRERA 125 CALLE 19,CHOQUE,POSITIVO,CAT 127,2,MOTOCICLETA,5324,Cali,Colombia,0,32510913,"Carrera 125, Parcelaciones Pance, Comuna 22, Perímetro Urbano Santiago de Cali, Cali, Sur, Valle del Cauca, RAP Pacífico, 720001, Colombia",highway,tertiary,3.33763956,-76.53596734
AI002531,31/01/2024,Con lesionado,CALLE 15 CARRERA 122,CHOQUE,POSITIVO,CAT 127,2,AUTOMOVIL,5205,Cali,Colombia,0,137063059,"Carrera 122, Parcelaciones Pance, Comuna 22, Perímetro Urbano Santiago de Cali, Cali, Sur, Valle del Cauca, RAP Pacífico, 760032, Colombia",highway,tertiary,3.344658152,-76.54930438
AI006819,09/05/2024,Negativo,CALLE 16 CARRERA 122,CHOQUE,NEGATIVO,AGENTE RADIO,2,BUS,6564,Cali,Colombia,0,137063059,"Carrera 122, Parcelaciones Pance, Comuna 22, Perímetro Urbano Santiago de Cali, Cali, Sur, Valle del Cauca, RAP Pacífico, 760032, Colombia",highway,tertiary,3.344658152,-76.54930438
AI012818,16/10/2024,Con lesionado,CALLE 25  & CARRERA 122,CHOQUE,CON HERIDOS,AGENTE RADIO,3,MOTOCICLETA,9306,Cali,Colombia,0,137063059,"Carrera 122, Parcelaciones Pance, Comuna 22, Perímetro Urbano Santiago de Cali, Cali, Sur, Valle del Cauca, RAP Pacífico, 760032, Colombia",highway,tertiary,3.344658152,-76.54930438
AI003025,10/02/2024,Con lesionado,CALLE 43 CARRERA 122,CHOQUE,POSITIVO,CAT 127,2,MOTOCICLETA,5348,Cali,Colombia,0,137063059,"Carrera 122, Parcelaciones Pance, Comuna 22, Perímetro Urbano Santiago de Cali, Cali, Sur, Valle del Cauca, RAP Pacífico, 760032, Colombia",highway,tertiary,3.344658152,-76.54930438
AI002411,29/01/2024,Negativo,CALLE 60 CARRERA 122,VOLCAMIENTO,POSITIVO,CAT 127,1,MOTOCICLETA,5178,Cali,Colombia,0,137063059,"Carrera 122, Parcelaciones Pance, Comuna 22, Perímetro Urbano Santiago de Cali, Cali, Sur, Valle del Cauca, RAP Pacífico, 760032, Colombia",highway,tertiary,3.344658152,-76.54930438
AI003382,18/02/2024,Negativo,CARRERA 122 16B-16,CHOQUE,NEGATIVO,AGENTE RADIO,2,CAMIONETA,8961,Cali,Colombia,0,137063059,"Carrera 122, Parcelaciones Pance, Comuna 22, Perímetro Urbano Santiago de Cali, Cali, Sur, Valle del Cauca, RAP Pacífico, 760032, Colombia",highway,tertiary,3.344658152,-76.54930438
AI0001950,17/01/2024,Negativo,CARRERA 122 CALLE 16,CHOQUE,POSITIVO,AGENTE RADIO,2,AUTOMOVIL,5005,Cali,Colombia,0,137063059,"Carrera 122, Parcelaciones Pance, Comuna 22, Perímetro Urbano Santiago de Cali, Cali, Sur, Valle del Cauca, RAP Pacífico, 760032, Colombia",highway,tertiary,3.344658152,-76.54930438
AI004578,15/03/2024,Negativo,CARRERA 122 CALLE 18,CHOQUE,NEGATIVO,CAT 127,1,AUTOMOVIL,9171,Cali,Colombia,0,137063059,"Carrera 122, Parcelaciones Pance, Comuna 22, Perímetro Urbano Santiago de Cali, Cali, Sur, Valle del Cauca, RAP Pacífico, 760032, Colombia",highway,tertiary,3.344658152,-76.54930438
AI003857,29/02/2024,Con lesionado,CARRERA 122 CALLE 20,CHOQUE,POSITIVO,AGENTE RADIO,2,MOTOCICLETA,5507,Cali,Colombia,0,137063059,"Carrera 122, Parcelaciones Pance, Comuna 22, Perímetro Urbano Santiago de Cali, Cali, Sur, Valle del Cauca, RAP Pacífico, 760032, Colombia",highway,tertiary,3.344658152,-76.54930438
AI003140,12/02/2024,Con lesionado,CARRERA 122 CALLE 23,CHOQUE,POSITIVO,AGENTE RADIO,2,MOTOCICLETA,5386,Cali,Colombia,0,137063059,"Carrera 122, Parcelaciones Pance, Comuna 22, Perímetro Urbano Santiago de Cali, Cali, Sur, Valle del Cauca, RAP Pacífico, 760032, Colombia",highway,tertiary,3.344658152,-76.54930438
AI005526,08/04/2024,Con lesionado,CALLE 18 CARRERA 122,CHOQUE,CON HERIDOS,CAT 127,2,AUTOMOVIL,6025,Cali,Colombia,0,137063059,"Carrera 122, Parcelaciones Pance, Comuna 22, Perímetro Urbano Santiago de Cali, Cali, Sur, Valle del Cauca, RAP Pacífico, 760032, Colombia",highway,tertiary,3.3446876,-76.5493187
AI007950,07/06/2024,Con lesionado,CALLE 18 CARRERA 122,CHOQUE,CON HERIDOS,CAT 127,3,AUTOMOVIL,6025,Cali,Colombia,0,137063059,"Carrera 122, Parcelaciones Pance, Comuna 22, Perímetro Urbano Santiago de Cali, Cali, Sur, Valle del Cauca, RAP Pacífico, 760032, Colombia",highway,tertiary,3.3446876,-76.5493187
AI006620,04/05/2024,Negativo,CALLE 20 CARRERA 122,CHOQUE,NEGATIVO,CAT 127,2,AUTOMOVIL,6404,Cali,Colombia,0,137063059,"Carrera 122, Parcelaciones Pance, Comuna 22, Perímetro Urbano Santiago de Cali, Cali, Sur, Valle del Cauca, RAP Pacífico, 760032, Colombia",highway,tertiary,3.3446876,-76.5493187
AI008225,15/06/2024,Con lesionado,CALLE 25 CARRERA 122,CHOQUE,CON HERIDOS,AGENTE RADIO,1,MOTOCICLETA,7116,Cali,Colombia,0,137063059,"Carrera 122, Parcelaciones Pance, Comuna 22, Perímetro Urbano Santiago de Cali, Cali, Sur, Valle del Cauca, RAP Pacífico, 760032, Colombia",highway,tertiary,3.3446876,-76.5493187
AI011851,20/09/2024,Con lesionado,CARRERA 122  & CALLE 23,CHOQUE,CON HERIDOS,CAT 127,2,CAMIONETA,8549,Cali,Colombia,0,137063059,"Carrera 122, Parcelaciones Pance, Comuna 22, Perímetro Urbano Santiago de Cali, Cali, Sur, Valle del Cauca, RAP Pacífico, 760032, Colombia",highway,tertiary,3.3446876,-76.5493187
388976,05/07/2021,Negativo,universidad san buenaventura,NO APLICA,No Quiere Intervenci?n,CAD 123,2,AUTOMOVIL,1150,Cali,Colombia,0,1189205237,"Universidad San Buenaventura de Cali, Carrera 122, Parcelaciones Pance, Comuna 22, Perímetro Urbano Santiago de Cali, Cali, Sur, Valle del Cauca, RAP Pacífico, 720001, Colombia",amenity,university,3.3450571,-76.54352659
AI013256,26/10/2024,Solo Da�os,PARQUE PRINCIPAL DEL HORMIGUERO,CHOQUE,CON MUERTOS,AGENTE CAD 123,2,MOTOCICLETA,9466,Cali,Colombia,0,11906000,"Parque Principal Ciudad Pacifica, El Hormiguero, Cali, Sur, Valle del Cauca, RAP Pacífico, Colombia",leisure,park,3.34559905,-76.51689784
AI009551,22/07/2024,Con lesionado,CALLE 18 & CARRERA 120,CHOQUE,CON HERIDOS,CAT 127,2,AUTOMOVIL,7556,Cali,Colombia,0,128582012,"Carrera 120, Parcelaciones Pance, Comuna 22, Perímetro Urbano Santiago de Cali, Cali, Sur, Valle del Cauca, RAP Pacífico, 720001, Colombia",highway,residential,3.348463932,-76.53802534
AI007856,04/06/2024,Con lesionado,CARRERA 120 CALLE 18,CHOQUE,CON HERIDOS,CAT 127,2,AUTOMOVIL,6984,Cali,Colombia,0,128582012,"Carrera 120, Parcelaciones Pance, Comuna 22, Perímetro Urbano Santiago de Cali, Cali, Sur, Valle del Cauca, RAP Pacífico, 720001, Colombia",highway,residential,3.348463932,-76.53802534
AI008807,01/07/2024,Con lesionado,CALLE 18 & CARRERA 121,CHOQUE,CON HERIDOS,CAT 127,1,MOTOCICLETA,7274,Cali,Colombia,0,1256352837,"Carrera 121, El Hormiguero, Cali, Sur, Valle del Cauca, RAP Pacífico, 760007, Colombia",highway,residential,3.349556218,-76.50134154
AI009747,27/07/2024,Negativo,CALLE 20 & CARRERA 121,CHOQUE,NEGATIVO,CAT 127,1,AUTOMOVIL,7631,Cali,Colombia,0,1256352837,"Carrera 121, El Hormiguero, Cali, Sur, Valle del Cauca, RAP Pacífico, 760007, Colombia",highway,residential,3.349556218,-76.50134154
AI0001927,17/01/2024,Con lesionado,CALLE 25 CARRERA 121,CHOQUE,POSITIVO,CAT 127,2,CAMIONETA,5016,Cali,Colombia,0,1256352837,"Carrera 121, El Hormiguero, Cali, Sur, Valle del Cauca, RAP Pacífico, 760007, Colombia",highway,residential,3.349556218,-76.50134154
AI003314,16/02/2024,Con lesionado,CARRERA 121 CALLE 25,CHOQUE,POSITIVO,CAT 127,2,MOTOCICLETA,5441,Cali,Colombia,0,1256352837,"Carrera 121, El Hormiguero, Cali, Sur, Valle del Cauca, RAP Pacífico, 760007, Colombia",highway,residential,3.349556218,-76.50134154
AI005741,12/04/2024,Negativo,CARRERA 121 CALLE 42,CHOQUE,NEGATIVO,AGENTE RADIO,2,AUTOMOVIL,6120,Cali,Colombia,0,1256352837,"Carrera 121, El Hormiguero, Cali, Sur, Valle del Cauca, RAP Pacífico, 760007, Colombia",highway,residential,3.349556218,-76.50134154
AI003111,12/02/2024,Con lesionado,CALLE 18 CARRERA 118,CHOQUE,POSITIVO,CAT 127,1,AUTOMOVIL,5376,Cali,Colombia,0,41161383,"Carrera 118, Parcelaciones Pance, Comuna 22, Perímetro Urbano Santiago de Cali, Cali, Sur, Valle del Cauca, RAP Pacífico, 720001, Colombia",highway,residential,3.349670787,-76.54218974
AI012938,19/10/2024,Con lesionado,CALLE 20  & CARRERA 118,CHOQUE,CON HERIDOS,AGENTE RADIO,2,MOTOCICLETA,9294,Cali,Colombia,0,41161383,"Carrera 118, Parcelaciones Pance, Comuna 22, Perímetro Urbano Santiago de Cali, Cali, Sur, Valle del Cauca, RAP Pacífico, 720001, Colombia",highway,residential,3.349670787,-76.54218974
AI012932,19/10/2024,Negativo,CALLE 20  & CARRERA 118,CHOQUE,NEGATIVO,CAT 127,2,AUTOMOVIL,9294,Cali,Colombia,0,41161383,"Carrera 118, Parcelaciones Pance, Comuna 22, Perímetro Urbano Santiago de Cali, Cali, Sur, Valle del Cauca, RAP Pacífico, 720001, Colombia",highway,residential,3.349670787,-76.54218974
AI013315,28/10/2024,Con lesionado,CALLE 25  & CARRERA 118,CHOQUE,CON HERIDOS,AGENTE RADIO,2,MOTOCICLETA,9495,Cali,Colombia,0,41161383,"Carrera 118, Parcelaciones Pance, Comuna 22, Perímetro Urbano Santiago de Cali, Cali, Sur, Valle del Cauca, RAP Pacífico, 720001, Colombia",highway,residential,3.349670787,-76.54218974
